ele,time,extensions/TrackPointExtension/hr/__text,extensions/TrackPointExtension/cad/__text,_lat,_lon
1528.2,2016-09-02T13:00:16Z,153,0,35.2019,-106.614558
1528,2016-09-02T13:00:17Z,163,0,35.201894,-106.614533
1528,2016-09-02T13:00:18Z,163,0,35.201884,-106.614509
1528,2016-09-02T13:00:19Z,172,0,35.201875,-106.61449
1527.8,2016-09-02T13:00:20Z,177,0,35.20187,-106.614472
1527.8,2016-09-02T13:00:21Z,177,0,35.201863,-106.614457
1527.8,2016-09-02T13:00:22Z,185,0,35.201854,-106.614442
1527.8,2016-09-02T13:00:23Z,185,0,35.20184,-106.614435
1527.8,2016-09-02T13:00:24Z,180,3,35.201825,-106.614434
1527.8,2016-09-02T13:00:25Z,180,3,35.201811,-106.614435
1527.8,2016-09-02T13:00:26Z,180,3,35.201801,-106.61444
1527.8,2016-09-02T13:00:27Z,180,0,35.2018,-106.614443
1527.8,2016-09-02T13:00:28Z,180,0,35.201799,-106.614444
1527.8,2016-09-02T13:00:29Z,180,0,35.201799,-106.614444
1527.8,2016-09-02T13:00:30Z,169,0,35.201799,-106.614444
1527.8,2016-09-02T13:00:31Z,169,0,35.201799,-106.614443
1527.8,2016-09-02T13:00:32Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:33Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:34Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:35Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:36Z,169,0,35.201798,-106.614443
1527.6,2016-09-02T13:00:37Z,169,0,35.201798,-106.614443
1527.6,2016-09-02T13:00:38Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:39Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:40Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:41Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:42Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:43Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:44Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:45Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:46Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:47Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:48Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:49Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:50Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:51Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:52Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:53Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:54Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:55Z,169,0,35.201799,-106.614443
1527.6,2016-09-02T13:00:56Z,169,0,35.201799,-106.614443
